Model Number,Test Accuracy,Generalization Gap,Avg. Epistemic,Avg. Aleatoric,Occam factor (FC),Occam factor (Filter),Test Loss
1,0.9051,-0.018454167,0.05243,0.157710001,0.038570945,0.02385836,1470450.025
2,0.9004,-0.021379167,0.05347,0.170080006,0.150067212,0.015840952,1471279.494
3,0.897,-0.0180625,0.05356,0.170340002,0.226797739,0.013182859,1471892.263
4,0.8857,-0.012970833,0.05393,0.172330007,0.117213029,0.018998933,1473270.825
5,0.9036,-0.0086,0.04917,0.143749997,0.037888815,0.107127019,1470184.281
6,0.8837,-0.020075,0.05627,0.185320005,0.107519531,0.096228335,1474196.606
7,0.8791,-0.015183333,0.05985,0.191229999,0.19576045,0.046562978,1474817.963
8,0.8971,-0.018954167,0.0532,0.166720003,0.150491132,0.056029962,1471239.544
9,0.8982,-0.017345833,0.05372,0.169,0.075425128,0.089997646,1472030.175
10,0.9037,-0.015783333,0.04935,0.156399995,0.135475836,0.025848248,1470250.075
11,0.8905,-0.017333333,0.05664,0.17701,0.070500777,0.01292814,1472898.013
12,0.8779,-0.017066667,0.05851,0.187769994,0.210308552,0.293297325,1475115.506
13,0.8961,-0.0106,0.05441,0.161190003,0.46075371,0.026582123,1471864.344
14,0.8968,-0.0153,0.05186,0.170739993,0.286323433,0.041460996,1471428.356
15,0.8963,-0.010675,0.05315,0.165130004,0.023957233,0.033938017,1471631.931
1,0.9742,-0.002158333,0.01514,0.03867,0.014122617,0.001031968,1097710.831
2,0.9756,-0.002245833,0.01421,0.037519999,0.01596189,0.006892232,1097816.056
3,0.973,-0.000291667,0.01558,0.039519999,0.035050869,0.001156412,1098063.494
4,0.9749,-0.001983333,0.01516,0.038249999,0.008039118,0.004030855,1097377.219
5,0.9688,-0.0008,0.01782,0.044500001,0.006934496,0.00591681,1099133.125
6,0.9743,-0.002383333,0.0141,0.038090002,0.025594924,0.011262611,1097747.044
7,0.9752,-0.000720833,0.01303,0.034990001,0.049252372,0.013531317,1097532.619
8,0.9757,-0.004554167,0.01565,0.03999,0.00206109,0.001181005,1098116.663
9,0.9713,3.33E-05,0.01595,0.040399998,0.089344451,0.000829104,1098216.281
10,0.9735,-0.0030625,0.01494,0.03915,0.016931156,0.000974162,1097667.781
11,0.9743,-0.0008,0.01324,0.036910001,0.021704937,0.002752614,1097262.413
12,0.9753,-0.0021125,0.01391,0.036279999,0.006136697,0.004141897,1097770.356
13,0.9748,-0.002195833,0.0147,0.03858,0.005634076,0.001145646,1097788.406
14,0.9716,-0.000870833,0.01559,0.040130001,0.03511398,0.002820577,1098071.325
15,0.9725,-0.002708333,0.01634,0.042180002,0.089919685,0.006338957,1098557.588
1,0.7944,-0.081275,0.08281,0.281120002,0.221536399,0.323226305,1533260.588
2,0.7874,-0.061629167,0.0838,0.29370001,0.298516382,0.058226169,1534059.625
3,0.7876,-0.067995833,0.08309,0.305779994,0.54625071,0.029379093,1535062.125
4,0.7859,-0.077358333,0.08107,0.289889991,0.039823192,0.390738569,1534716.038
5,0.7875,-0.084416667,0.0855,0.289249986,2.297732407,0.395948624,1534222.419
6,0.8005,-0.033729167,0.07411,0.269089997,0.285061412,0.214329739,1531726.919
7,0.7969,-0.041775,0.08182,0.269569993,0.508481568,0.179090012,1531891.919
8,0.7932,-0.0316375,0.07962,0.25150001,0.557179125,0.027771583,1531401.019
9,0.7986,-0.0476625,0.07846,0.270429999,1.322659941,0.105470956,1532351.263
10,0.805,-0.080979167,0.08161,0.29084,1.559224136,0.513388617,1532621.794
11,0.8032,-0.037908333,0.08019,0.262120008,0.145607164,0.090105272,1531055.806
12,0.7952,-0.048679167,0.08346,0.28323999,0.174733994,0.111064712,1532582.631
13,0.7956,-0.0427875,0.0817,0.264050007,0.8366609,0.04217898,1531955.944
14,0.8014,-0.0358375,0.0812,0.264389992,0.337894108,0.162623809,1531582.119
15,0.7873,-0.062008333,0.08323,0.298880011,0.309279469,0.066603999,1534841.238
1,0.9426,-0.007725,0.03191,0.090860002,0.026361745,0.002373199,1390540.931
2,0.9396,-0.007995833,0.03456,0.100390002,0.025333172,0.01255088,1391353.35
3,0.942,-0.008520833,0.03287,0.094059996,0.012729715,0.003659913,1390635.794
4,0.9478,-0.0087375,0.03072,0.085359998,0.005232409,0.005108123,1389671.244
5,0.942,-0.004458333,0.03208,0.089120001,0.074900871,0.015149479,1389850.731
6,0.9401,-0.008183333,0.03296,0.094169997,0.013544248,0.04102043,1390495.169
7,0.9418,-0.005258333,0.03454,0.094800003,0.132034133,0.025047961,1390659.625
8,0.9336,-0.007225,0.03586,0.103600003,0.188296833,0.022096991,1391823.581
9,0.9468,-0.008966667,0.03124,0.091700003,0.020166061,0.00134815,1389696.506
10,0.9366,-0.010433333,0.03723,0.10712,0.007233977,0.017693075,1392039.875
11,0.9335,-0.006833333,0.03786,0.106930003,0.001335388,0.008204819,1392310.55
12,0.941,-0.004520833,0.03283,0.092770003,0.195919779,0.017986285,1390332.425
13,0.9362,-0.006116667,0.03496,0.099639997,0.042859633,0.006178264,1391489.238
14,0.9418,-0.007758333,0.03394,0.098190002,0.038226496,0.002798765,1390717.425
15,0.9421,-0.007016667,0.03392,0.095229998,0.068592238,0.002846934,1390656.419
