,Dropout in layer 1,Dropout in layer 2,Layer 1 size,Layer 2 size,Batch size,Epochs,Loss,Accuracy
0,0.1926195850632212,0.1589568198427671,256,512,32,5,0.08580300048295175,0.9765
1,0.16753450843943202,0.3320370277283409,64,128,32,10,0.0985244797966443,0.9704
2,0.44430065375989247,0.19464594633693755,128,512,32,20,0.0749523034821963,0.9776
3,0.47244299269789336,0.1079144746494099,256,64,32,5,0.08363414422497153,0.9735
4,0.14603574427696403,0.002002729458955077,512,1024,32,10,0.07468457650420023,0.9775
5,0.5,0.5,512,1024,32,10,0.09057227863495354,0.9719
6,0.4271909211063193,0.18079892955796084,128,512,32,20,0.08622090586078121,0.9739
7,0.03762339746013743,0.06659348986813474,1024,256,64,20,0.07951819099187851,0.9758
8,0.14856196595404572,0.023221999990280667,512,1024,32,10,0.0914531856735557,0.9741
9,0.12401997105249113,0.0034831366129747243,512,1024,32,10,0.1072318667510961,0.97
10,0.4628362070226268,0.055661713113452804,128,512,32,20,0.09055392809351906,0.972
11,0.46952855167915325,0.11809503678867372,256,64,32,5,0.0773134526246693,0.9768
12,0.46094172556612467,0.2118131853316631,128,512,32,20,0.10469258722066879,0.9669
13,0.2607900652107885,0.07574918361229294,256,512,32,5,0.07924067132304481,0.9774
14,0.43105140747022,0.13010170379311609,256,64,32,5,0.08403512140367529,0.976
15,0.21770427233369677,0.16770368410951925,256,512,32,5,0.09419294972502394,0.9746
16,0.013530013587610912,0.07647231523451276,1024,256,64,20,0.07697539311978034,0.9763
17,0.09896724341317237,0.08552025668223528,1024,256,64,20,0.07380843667741865,0.9794
18,0.038849762000065624,0.09258628865345547,1024,256,64,20,0.07649289745818824,0.9782
19,0.03841101563462851,0.11355468086160148,1024,256,64,20,0.07367296491042943,0.9784
20,0.219037162378743,0.12023367278844732,1024,256,64,20,0.06561291527652648,0.9813
21,0.19899660699908647,0.11260319843899207,1024,256,64,20,0.07374111012364738,0.979
22,0.25044122770928673,0.11771948506884403,1024,256,64,20,0.06648464629380033,0.9795
23,0.42913722997106557,0.13866217176523685,1024,256,64,20,0.07884020311012864,0.9756
24,0.3092435136806703,0.11970425689969935,1024,128,64,20,0.062365533424599565,0.9816
25,0.43411678898887557,0.0336661076926274,1024,64,64,20,0.06261390680423938,0.9833
26,0.42535453381181704,0.03514837372128565,1024,64,64,20,0.08323250410240143,0.9757
27,0.44127257742240605,0.20029956653638042,1024,64,64,20,0.07780932214939967,0.9768
28,0.49096275283349483,0.02733914260246978,1024,64,64,20,0.07498440025211311,0.9771
29,0.45292488742740544,0.21416071664721453,1024,64,64,20,0.07253754292877856,0.9796
30,0.2799999654680956,0.023758294905441568,1024,64,64,20,0.06434829250241164,0.9802
31,0.3247804007629824,0.017203485247708594,1024,64,64,20,0.08369710082473467,0.979
32,0.31812957401086306,0.02045298788727884,1024,64,64,20,0.06896534992102533,0.9785
33,0.4398880066862364,0.01863477789776591,1024,64,64,20,0.07456655023591593,0.9767
34,0.4161086000228798,0.19759443739906402,1024,64,64,20,0.06042900390988216,0.9823
