,Dropout in layer 1,Dropout in layer 2,Layer 1 size,Layer 2 size,Batch size,Epochs,Loss,Accuracy
0,0.18837293696428115,0.21713250538008577,128,512,64,20,0.08249572236365639,0.9771
1,0.15227607869027782,0.4909777649760337,1024,128,32,10,0.07808933633589185,0.9759
2,0.16759131086139234,0.2605969050770685,128,64,64,10,0.07584229817395098,0.9762
3,0.016269882752176,0.29892269117291376,256,128,32,5,0.07939698488910217,0.9753
4,0.4509581754881924,0.053988449323357945,256,512,32,10,0.09963520065173506,0.9675
5,0.10861524028318303,0.29406263041961256,128,64,64,10,0.07599951683043037,0.9773
6,0.5,0.0,128,64,64,5,0.09735121717453003,0.9709
7,0.17085063441653264,0.44706283877490083,1024,128,32,5,0.07991832394554658,0.9782
8,0.09233278388343576,0.2708222424293102,256,128,32,10,0.08430061282506213,0.9753
9,0.5,0.0,128,64,64,10,0.09146231268569827,0.9725
10,0.2854755410977191,0.5,128,64,64,10,0.08835589339956641,0.9736
11,0.28465689960072976,0.292337066989741,1024,128,32,10,0.09229638356009964,0.9726
12,0.17611105184481263,0.23273163523807222,256,128,32,5,0.07780915640146123,0.9791
13,0.05614841985220126,0.1380246791095936,128,64,64,10,0.0842192786345724,0.9744
14,0.06411101757006762,0.11087064237977096,256,128,32,5,0.06950471833796473,0.9797
15,0.02106094910124792,0.0,256,128,32,5,0.07681951684834276,0.9785
16,0.162780012154623,0.06519366828617669,256,128,32,5,0.07218735826214542,0.9779
17,0.3618274298032159,0.0,256,128,32,5,0.07265820570568321,0.9763
18,0.4785997393056167,0.3092896458843355,1024,128,32,5,0.07293731737479393,0.9762
19,0.3977249679471909,0.13986782974912174,1024,128,32,5,0.06910976339154294,0.9793
20,0.5,0.014856016357311819,1024,128,32,5,0.07383048228700645,0.9774
21,0.23699396258856859,0.04581930000352474,1024,128,32,5,0.07171324074254226,0.9797
22,0.0,0.0,1024,128,32,5,0.0865428009579191,0.9752
23,0.40907603514229207,0.12620151187502637,256,1024,32,10,0.08076372072529048,0.9752
24,0.27909061944800295,0.21625785295147248,1024,128,32,5,0.08044299494105507,0.9749
25,0.5,0.11990928059409137,256,128,32,5,0.07646458403849975,0.9763
26,0.24357942384977765,0.05941193183914967,256,1024,64,5,0.06900466327080503,0.9794
27,0.39806076834383797,0.07895103496353661,256,1024,64,5,0.06620919067470822,0.9785
28,0.3437357381568773,0.22126920409090864,256,1024,64,5,0.0740617346310988,0.9777
29,0.03983795326996774,0.0,256,1024,64,5,0.08442038450203836,0.9744
30,0.3529550048671109,0.0,256,1024,64,5,0.07910504566505551,0.9742
31,0.5,0.1737199343974243,256,1024,64,5,0.07639008365236223,0.9787
32,0.5,0.1167567462023111,1024,128,32,5,0.08753175585730932,0.9738
33,0.5,0.5,256,1024,64,5,0.0828552628670819,0.974
34,0.3687052927288997,0.09920466742631152,256,1024,64,5,0.07420041511300951,0.9772
