,Dropout in layer 1,Dropout in layer 2,Layer 1 size,Layer 2 size,Batch size,Epochs,Loss,Accuracy
0,0.2887161821719293,0.33639282583968644,64,128,32,20,0.10001820382168516,0.9696
1,0.30808173567637476,0.28127085710916905,1024,256,64,20,0.06829565856487024,0.9774
2,0.043045570752583084,0.09234426146604668,64,512,64,20,0.07145535412973258,0.9786
3,0.2719422879584784,0.3029806791349299,256,512,32,5,0.07450431415913045,0.9768
4,0.4955152322724457,0.03285344921193112,256,512,32,10,0.07378964939571452,0.9787
5,0.027605634951415905,0.20932027354398025,1024,256,64,5,0.08676447109063155,0.973
6,0.0,0.0,1024,256,64,20,0.08608100837371312,0.9731
7,0.3086304109706117,0.28162576794159144,1024,256,64,20,0.07785914701432921,0.9769
8,0.2816212846519787,0.2561396696702658,256,64,64,10,0.07804533081289847,0.9783
9,0.1577396341533817,0.4915058623188833,64,512,64,10,0.08663870653221384,0.973
10,0.3079184638230866,0.281159295059255,1024,256,64,20,0.07739678766196594,0.9755
11,0.30770705179450275,0.2810331736001123,1024,256,64,20,0.07543805675116601,0.9769
12,0.4955148226929115,0.03285397290675074,256,512,32,10,0.07973743247594685,0.9755
13,0.3064543354025037,0.2802423108329085,1024,256,64,20,0.06719427273425391,0.9795
14,0.274124560651672,0.3033875707487039,256,512,32,5,0.07405397646451602,0.9788
15,0.04304337254989247,0.09234806204837402,64,512,64,20,0.09145202524233609,0.9707
16,0.30674062247879985,0.2804240674829326,1024,256,64,20,0.07055572281116619,0.9772
17,0.30596380901120546,0.27993327011205893,1024,256,64,20,0.06787966175451875,0.979
18,0.30527330984124484,0.2794945457561012,1024,256,64,20,0.07249723670952954,0.9779
19,0.30319747686760334,0.27818533090648845,1024,256,64,20,0.08228661734927446,0.9778
20,0.28392891983891255,0.2372825700013077,256,64,64,10,0.07042917459057645,0.979
21,0.0521920691228947,0.39548098323127945,512,256,64,5,0.0875639407524839,0.9728
22,0.44136020172412876,0.07195885566726745,512,1024,64,10,0.07782861300120131,0.976
23,0.40072849660014886,0.10253227840360302,128,256,32,20,0.08080215383091709,0.9778
24,0.143953217829768,0.022591268536414855,512,64,64,10,0.0762011912677437,0.9768
25,0.33885750056434877,0.023843500348600166,1024,1024,32,10,0.10576193321775645,0.9646
26,0.25540944231462354,0.291383204726638,256,64,64,10,0.0716056884588208,0.9784
27,0.3187203134890938,0.29020723136839954,1024,256,64,20,0.072219539848133,0.9781
28,0.3273263144570318,0.2974388884868653,1024,256,64,20,0.07826005619969219,0.9748
29,0.3053688910966025,0.27953378057987965,1024,256,64,20,0.07570478420164437,0.9776
30,0.3090391091481787,0.28265961231882875,1024,256,64,20,0.08544473079689778,0.9732
31,0.2602769628493831,0.2643518066485454,256,64,64,10,0.07152409556675703,0.9778
32,0.2506494310320707,0.2661402583047928,256,64,64,10,0.07313916188809089,0.9794
33,0.24618268001613958,0.26688380281318025,256,64,64,10,0.06774860905008391,0.98
34,0.2185376125202291,0.2706390661443669,256,64,64,10,0.07296686920642387,0.9778
