Model Number,Test Accuracy,Generalization Gap,Avg. Epistemic,Avg. Aleatoric,Occam factor (FC),Occam factor (Filter),Test Loss
1,0.9426,-0.007725,0.03191,0.090860002,0.026361745,0.002373199,1390540.931
2,0.9396,-0.007995833,0.03456,0.100390002,0.025333172,0.01255088,1391353.35
3,0.942,-0.008520833,0.03287,0.094059996,0.012729715,0.003659913,1390635.794
4,0.9478,-0.0087375,0.03072,0.085359998,0.005232409,0.005108123,1389671.244
5,0.942,-0.004458333,0.03208,0.089120001,0.074900871,0.015149479,1389850.731
6,0.9401,-0.008183333,0.03296,0.094169997,0.013544248,0.04102043,1390495.169
7,0.9418,-0.005258333,0.03454,0.094800003,0.132034133,0.025047961,1390659.625
8,0.9336,-0.007225,0.03586,0.103600003,0.188296833,0.022096991,1391823.581
9,0.9468,-0.008966667,0.03124,0.091700003,0.020166061,0.00134815,1389696.506
10,0.9366,-0.010433333,0.03723,0.10712,0.007233977,0.017693075,1392039.875
11,0.9335,-0.006833333,0.03786,0.106930003,0.001335388,0.008204819,1392310.55
12,0.941,-0.004520833,0.03283,0.092770003,0.195919779,0.017986285,1390332.425
13,0.9362,-0.006116667,0.03496,0.099639997,0.042859633,0.006178264,1391489.238
14,0.9418,-0.007758333,0.03394,0.098190002,0.038226496,0.002798765,1390717.425
15,0.9421,-0.007016667,0.03392,0.095229998,0.068592238,0.002846934,1390656.419
