,Batchwise accuracy,Batchwise epistemic,Batchwise aleatoric
0,96.875,0.001044076,0.006007816
1,97.65625,0.000460012,0.002484051
2,97.39583333,8.02E-06,0.000442976
3,97.265625,7.85E-06,0.000362367
4,97.5,2.30E-05,0.000758815
5,97.65625,1.99E-05,0.0005973
6,97.54464286,0.00075866,0.002756634
7,97.4609375,0.003754974,0.007242444
8,97.56944444,5.37E-05,0.001087601
9,97.65625,2.28E-07,0.000101402
10,97.86931818,4.37E-05,0.000851849
11,97.91666667,1.36E-05,0.00074474
12,97.83653846,0.002319612,0.006346664
13,97.99107143,0.000809247,0.002920038
14,98.125,0.001741369,0.003566134
15,98.2421875,0.001036437,0.005505104
16,98.06985294,0.001840325,0.004422734
17,98.09027778,0.001332728,0.005078171
18,98.10855263,0.000758305,0.00408708
19,98.046875,0.004216875,0.009537913
20,98.13988095,0.001732406,0.005614222
21,98.15340909,7.49E-05,0.00180159
22,98.16576087,0.001716273,0.005719645
23,98.2421875,1.36E-06,0.000255594
24,98.1875,0.002697237,0.006705537
25,98.13701923,0.00029091,0.002346631
26,98.20601852,6.29E-05,0.001236584
27,98.27008929,0.001373259,0.004796064
28,98.22198276,0.000447018,0.002353111
29,98.22916667,0.000838475,0.002903689
30,98.18548387,0.001540986,0.004571173
31,98.19335938,0.00076101,0.002767587
32,98.24810606,5.33E-06,0.000302659
33,98.29963235,1.17E-07,4.77E-05
34,98.34821429,-6.10E-08,3.70E-05
35,98.39409722,1.23E-05,0.000502767
36,98.39527027,0.000315265,0.002030164
37,98.4375,1.49E-05,0.00060727
38,98.4375,0.00071105,0.004139235
39,98.3984375,0.005934696,0.008495855
40,98.36128049,0.001013269,0.005097046
41,98.40029762,0.000435135,0.002601418
42,98.4375,2.20E-06,0.000247453
43,98.4375,0.003863184,0.004743141
44,98.4375,0.000844247,0.003829073
45,98.4375,0.002559553,0.003802442
46,98.47074468,-1.20E-07,2.44E-05
47,98.50260417,5.77E-08,4.32E-05
48,98.46938776,0.003730457,0.008356886
49,98.5,5.10E-05,0.00132381
50,98.37622549,0.004742537,0.006028272
51,98.40745192,7.12E-05,0.001057202
52,98.37853774,0.004859296,0.009064667
53,98.37962963,-2.18E-09,4.66E-05
54,98.38068182,0.000301322,0.003368803
55,98.40959821,1.36E-05,0.000758066
56,98.4375,1.33E-05,0.000760089
57,98.35668103,0.002849917,0.010697064
58,98.3315678,0.001248018,0.004714811
59,98.33333333,2.30E-05,0.000996161
60,98.30942623,3.41E-05,0.000725541
61,98.33669355,1.26E-06,0.000235774
62,98.33829365,0.000823859,0.002912094
63,98.33984375,0.003794827,0.006223157
64,98.36538462,0.00012406,0.001504063
65,98.39015152,0.00020089,0.002360343
66,98.4141791,0.002570422,0.00685563
67,98.41452206,0.000211546,0.001689222
68,98.39221014,0.001769795,0.004099236
69,98.41517857,0.000139342,0.001367885
70,98.41549296,0.000375067,0.002113585
71,98.4375,0.000940551,0.002981952
72,98.41609589,0.000768032,0.002860787
73,98.41638514,0.00203305,0.006758629
74,98.4375,5.34E-08,7.84E-05
75,98.4375,0.001018135,0.003313359
76,98.4375,3.40E-06,0.000339279
77,98.41746795,0.002727552,0.004426875
78,98.41772152,2.93E-07,6.81E-05
79,98.4375,4.65E-07,0.000106196
80,98.45679012,2.33E-07,7.64E-05
81,98.47560976,0.002165438,0.004020121
82,98.4563253,0.000174914,0.001521301
83,98.47470238,8.60E-06,0.000576338
84,98.41911765,0.006984051,0.009972992
85,98.4193314,0.000435322,0.003265543
86,98.4375,0.001780775,0.006431807
87,98.41974432,0.001388213,0.005677528
88,98.4375,3.06E-05,0.000718633
89,98.4375,6.92E-05,0.001004075
90,98.42032967,0.000479605,0.003512692
91,98.4375,6.94E-07,0.000143617
92,98.45430108,1.17E-07,4.83E-05
93,98.45412234,0.003300224,0.006466598
94,98.42105263,0.003226238,0.010372195
95,98.38867188,2.73E-05,0.001221822
96,98.40528351,0.002350419,0.005826544
97,98.42155612,6.43E-07,0.000113937
98,98.42171717,2.32E-07,7.92E-05
99,98.4375,0.002193274,0.006027852
100,98.4529703,7.37E-05,0.001605502
101,98.4375,0.008084251,0.015319759
102,98.4526699,5.61E-05,0.001050035
103,98.4375,0.00105864,0.005533959
104,98.42261905,0.00494492,0.008620366
105,98.42275943,0.003779645,0.00518844
106,98.4375,6.40E-06,0.000393315
107,98.4375,1.71E-07,8.91E-05
108,98.42316514,0.002192062,0.006805732
109,98.4375,0.00136637,0.005449005
110,98.42342342,0.005969704,0.007783844
111,98.4375,0.003963854,0.005882996
112,98.45132743,5.31E-06,0.000405715
113,98.4375,7.70E-05,0.001770833
114,98.42391304,0.003204707,0.009859873
115,98.42403017,8.39E-05,0.001952987
116,98.4241453,9.61E-05,0.001480907
117,98.41101695,0.000155607,0.002838911
118,98.4112395,0.000701938,0.004366591
119,98.41145833,0.000202832,0.001701118
120,98.41167355,0.004946402,0.007440759
121,98.42469262,2.94E-05,0.00108976
122,98.42479675,0.003586049,0.007041082
123,98.39969758,0.004687282,0.011616867
124,98.4,5.67E-07,0.000168872
125,98.38789683,0.000208329,0.002284956
126,98.3882874,0.000185095,0.003130085
127,98.38867188,0.001005069,0.003327839
128,98.38905039,7.59E-05,0.002290274
129,98.37740385,0.005906013,0.009723211
130,98.3778626,0.005663141,0.007651591
131,98.37831439,0.002784602,0.006584987
132,98.36701128,0.006527741,0.007889657
133,98.36753731,0.003526504,0.004680896
134,98.35648148,0.001427943,0.003497557
135,98.35707721,0.003890615,0.007606789
136,98.36906934,5.57E-08,6.22E-05
137,98.38088768,0.000130485,0.001589635
138,98.37005396,0.000603868,0.002961326
139,98.37053571,7.29E-06,0.000670154
140,98.34884752,0.003403828,0.004108179
141,98.33846831,1.07E-05,0.000404315
142,98.31730769,4.86E-05,0.001557265
143,98.31814236,6.97E-07,0.000135272
144,98.31896552,0.001291962,0.005271838
145,98.3197774,0.002089273,0.006261129
146,98.29931973,0.00074698,0.00366012
147,98.27913851,0.003768715,0.005558564
148,98.26971477,0.000384542,0.002640388
149,98.26041667,0.000971602,0.004560653
150,98.27193709,5.19E-07,0.000133168
151,98.27302632,4.67E-07,9.92E-05
152,98.27410131,0.000217547,0.001908602
153,98.26501623,5.78E-08,4.24E-05
154,98.27620968,0.003296357,0.003902907
155,98.27724359,0.000230274,0.001846194
156,98.28,0.001826076,0.009091257
,,0.001318794,0.003429191
