,Dropout in layer 1,Dropout in layer 2,Layer 1 size,Layer 2 size,Batch size,Epochs,Loss,Accuracy
0,0.209877542,0.05170306,512,128,32,20,0.083939993,0.9763
1,0.183539036,0.000950255,64,1024,32,20,0.129721284,0.9561
2,0.008256588,0.178632549,64,1024,32,10,0.080958019,0.9767
3,0.11073662,0.271780832,256,64,32,5,0.086153932,0.9766
4,0.147294017,0.24674976,128,256,32,20,0.079436864,0.9772
5,0.089636947,0.036704332,256,512,64,5,0.066539369,0.9798
6,0.012115942,0.08646435,128,128,64,5,0.095534291,0.9713
7,0.040101264,0.268016195,512,256,64,10,0.06987561,0.9784
8,0.075429629,0.207116714,512,64,64,20,0.079174713,0.9766
9,0.17158522,0.040549607,1024,1024,64,20,0.081266942,0.9759
10,0.070773881,0.273864284,64,256,32,5,0.083539867,0.9738
11,0.215251185,0.088256256,1024,512,64,5,0.114109301,0.9688
12,0.229721196,0.186761593,64,64,64,10,0.102179705,0.9695
13,0.139949278,0.157209464,128,256,32,10,0.074904816,0.9779
14,0.173123974,0.187742734,1024,64,32,20,0.078273659,0.9757
15,0.001569291,0.257490898,128,256,32,10,0.081029918,0.9764
16,0.296010268,0.270164573,256,128,64,5,0.080852552,0.9749
17,0.296767266,0.156006158,512,128,32,10,0.093689806,0.9724
18,0.124091097,0.077806782,64,512,32,20,0.087113122,0.974
19,0.03650127,0.196582176,512,64,64,20,0.07155701,0.9781
20,0.080787506,0.008040061,512,64,64,10,0.071130112,0.9788
21,0.140454972,0.117444483,128,512,64,20,0.082739717,0.9741
22,0.055665237,0.224051627,64,1024,64,10,0.101188474,0.9682
23,0.258133086,0.127192837,512,64,64,10,0.07091352,0.9787
24,0.068560494,0.266328353,128,512,32,5,0.08250811,0.9751
25,0.025651743,0.234624737,512,1024,32,10,0.091368167,0.976
26,0.185891022,0.252984302,128,64,64,20,0.083233247,0.9754
27,0.105758382,0.285733235,512,128,64,5,0.067013715,0.9798
28,0.157920618,0.158400713,256,128,64,20,0.074074569,0.9771
29,0.115204976,0.177149099,256,128,32,10,0.080332925,0.9758
30,0.174189573,0.038675572,512,256,32,20,0.074533708,0.9761
31,0.16541838,0.007440051,256,1024,32,20,0.080464725,0.975
32,0.106216885,0.263941551,1024,128,64,5,0.083306734,0.9734
33,0.231772445,0.193951811,512,256,64,20,0.077759745,0.9758
34,0.186438701,0.297897215,64,128,64,20,0.08628873,0.9749
,,,,,,,0.066539369,0.9798
